"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"11/09/2024","TST* XUL BEER CO KNOXVILLE TN","-40.39",,"Posted"
"11/08/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.72",,"Posted"
"11/07/2024","TST*STICKY RICE CAFE Knoxville TN","-20.00",,"Posted"
"11/07/2024","UTKATHLETICS TICKETS 865-656-1200 TN","-20.00",,"Posted"
"11/06/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.99",,"Posted"
"11/04/2024","MCDONALD'S F2495 KNOXVILLE TN","-11.89",,"Posted"
"11/01/2024","WM SUPERCENTER #2065 KNOXVILLE TN","-145.06",,"Posted"
"11/01/2024","WM SUPERCENTER #2065 KNOXVILLE TN","-35.45",,"Posted"
"11/01/2024","TRADER JOE S #663 KNOXVILLE TN","-21.83",,"Posted"
"11/01/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-73.41",,"Posted"
"11/01/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-8.65",,"Posted"
"10/31/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.72",,"Posted"
"10/30/2024","WAL-MART #2065 KNOXVILLE TN","-14.62",,"Posted"
"10/30/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/29/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/28/2024","SHELL OIL 10015396004 KNOXVILLE TN","-33.62",,"Posted"
"10/25/2024","ONLINE PAYMENT THANK YOU","478.67",,"Posted"
"10/25/2024","REG PINNACLE 18 0682 KNOXVILLE TN","-28.99",,"Posted"
"10/25/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/22/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"10/21/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/19/2024","WAL-MART #2065 KNOXVILLE TN","-17.85",,"Posted"
"10/19/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-55.76",,"Posted"
"10/17/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/17/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-6.98",,"Posted"
"10/16/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.35",,"Posted"
"10/15/2024","TST*ABRIDGED BEER COMPAN Knoxville TN","-33.03",,"Posted"
"10/15/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-10.87",,"Posted"
"10/11/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.12",,"Posted"
"10/11/2024","JONES CENTER FOR LEADERSH865-9741039 TN","-5.00",,"Posted"
"10/11/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-16.67",,"Posted"
"10/10/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-10.87",,"Posted"
"10/09/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-10.87",,"Posted"
"10/06/2024","ONLINE PAYMENT THANK YOU","476.34",,"Posted"
"10/05/2024","COSTCO GAS #1116 FARRAGUT TN","-22.66",,"Posted"
"10/05/2024","COSTCO WHSE #1116 FARRAGUT TN","-104.20",,"Posted"
"10/05/2024","TST*ABRIDGED BEER COMPAN Knoxville TN","-93.80",,"Posted"
"10/04/2024","McDonalds 2495 186-5637414 TN","-10.64",,"Posted"
"10/02/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.12",,"Posted"
"10/01/2024","McDonalds 2495 186-5637414 TN","-9.37",,"Posted"
"10/01/2024","AMAZON MARK* Q20RK52U3 HTTPSAMAZON.CWA","-27.00",,"Posted"
"09/30/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.12",,"Posted"
"09/29/2024","Riot* LN41VXP4LF8S 866-373-9211 CA","-12.01",,"Posted"
"09/27/2024","McDonalds 2495 186-5637414 TN","-6.54",,"Posted"
"09/24/2024","McDonalds 2495 186-5637414 TN","-11.45",,"Posted"
"09/24/2024","WWW.YAMIBUY.COM HTTPSWWW.YAMICA","-52.83",,"Posted"
"09/23/2024","McDonalds 2495 186-5637414 TN","-9.16",,"Posted"
"09/22/2024","eBay O*06-12104-02331 San Jose CA","-71.36",,"Posted"
"09/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"09/20/2024","COSTCO WHSE #1116 FARRAGUT TN","-29.39",,"Posted"
"09/20/2024","TST*ABRIDGED BEER COMPAN Knoxville TN","-29.00",,"Posted"
"09/20/2024","WM SUPERCENTER #2065 KNOXVILLE TN","-1.45",,"Posted"
"09/17/2024","SHELL OIL 10015396004 KNOXVILLE TN","-33.38",,"Posted"
"09/17/2024","TST* ABRIDGED BEER COMPANKNOXVILLE TN","-39.80",,"Posted"
"09/16/2024","ONLINE PAYMENT THANK YOU","560.92",,"Posted"
"09/16/2024","MCDONALD'S F2495 KNOXVILLE TN","-6.56",,"Posted"
"09/15/2024","COSTCO WHSE #1116 FARRAGUT TN","-90.85",,"Posted"
"09/13/2024","MCDONALD'S F2495 KNOXVILLE TN","-7.00",,"Posted"
"09/11/2024","MCDONALD'S F2495 KNOXVILLE TN","-6.01",,"Posted"
"09/11/2024","MCDONALD'S F2495 KNOXVILLE TN","-2.39",,"Posted"
"09/09/2024","ALDI 70015 KNOXVILLE TN","-23.32",,"Posted"
"09/09/2024","MCDONALD'S F2495 KNOXVILLE TN","-6.00",,"Posted"
"09/06/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.12",,"Posted"
"09/06/2024","TST*LITER BOARD Knoxville TN","-20.00",,"Posted"
"09/06/2024","TST*LUNAVERSE KNOXVILLE Knoxville TN","-13.00",,"Posted"
"09/06/2024","TST*LUNAVERSE KNOXVILLE Knoxville TN","-12.00",,"Posted"
"09/06/2024","TST*LUNAVERSE KNOXVILLE Knoxville TN","-14.40",,"Posted"
"09/04/2024","WWW.YAMIBUY.COM HTTPSWWW.YAMICA","-55.87",,"Posted"
"08/31/2024","SHELL OIL 10015396004 KNOXVILLE TN","-35.86",,"Posted"
"08/29/2024","USPS PO 4746380901 KNOXVILLE TN","-7.04",,"Posted"
"08/28/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-16.61",,"Posted"
"08/26/2024","PARCHMENT-UNIV DOCS 480-719-1646 AZ","-10.00",,"Posted"
"08/26/2024","MCDONALD'S F2495 KNOXVILLE TN","-9.28",,"Posted"
"08/26/2024","TST* FAMOUS DAVE'S - 2122KNOXVILLE TN","-34.15",,"Posted"
"08/24/2024","WHOLEFDS KNX #10461 KNOXVILLE TN","-31.24",,"Posted"
"08/22/2024","MAST STORE KNOXVILLE KNOXVILLE TN","-32.75",,"Posted"
"08/22/2024","SignUp *HOPE5K 888-3851360 NJ","-36.25",,"Posted"
"08/21/2024","AUTOMATIC PAYMENT - THANK YOU","21.95",,"Posted"
"08/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"08/20/2024","MCDONALD'S F2495 KNOXVILLE TN","-8.00",,"Posted"
"08/19/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-11.05",,"Posted"
"08/18/2024","MAKINO JAPANESE BUFFET KNOXVILLE TN","-20.07",,"Posted"
"08/18/2024","ALDI 70015 KNOXVILLE TN","-23.38",,"Posted"
"08/17/2024","MCDONALD'S F2495 KNOXVILLE TN","-8.00",,"Posted"
"08/16/2024","MCDONALD'S F39008 BARTLETT TN","-9.32",,"Posted"
"08/16/2024","SHELL OIL13073096011 CROSSVILLE TN","-34.18",,"Posted"
"08/15/2024","MCDONALD'S F39008 BARTLETT TN","-10.00",,"Posted"
"08/14/2024","KROGER #456 BARTLETT TN","-8.98",,"Posted"
"08/12/2024","BLACK CANYON SHOREVIEW MN","-20.70",,"Posted"
"07/21/2024","AUTOMATIC PAYMENT - THANK YOU","36.94",,"Posted"
"07/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"06/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"06/08/2024","ONLINE PAYMENT THANK YOU","335.96",,"Posted"
"06/08/2024","Amazon Prime*MC2D55123 Amzn.com/billWA","-14.99",,"Posted"
"06/02/2024","SQ *KURA REVOLVING SUSHI Pleasanton CA","-72.00",,"Posted"
"06/02/2024","85C BAKERY CAFE USA PLEASANTON CA","-10.32",,"Posted"
"06/01/2024","LONG PEAK #93 SHOREVIEW MN","-20.70",,"Posted"
"06/01/2024","STEAMGAMES.COM 4259522985425-8899642 WA","-6.57",,"Posted"
"05/30/2024","COSTCO WHSE #0352 CORDOVA TN","-23.03",,"Posted"
"05/29/2024","ONLINE PAYMENT THANK YOU","465.88",,"Posted"
"05/29/2024","SQ *LADY M CONFECTIONS gosq.com NY","-157.00",,"Posted"
"05/29/2024","KROGER #456 BARTLETT TN","-10.34",,"Posted"
"05/28/2024","CIRCLE K # 03679 BARTLETT TN","-36.99",,"Posted"
"05/28/2024","PHO 64 BARTLETT TN","-36.00",,"Posted"
"05/25/2024","SPARKLING IMAGE CAR WASH BARTLETT TN","-49.38",,"Posted"
"05/24/2024","KFC L518032 https://prod.TN","-21.95",,"Posted"
"05/21/2024","TST* STICKY RICE CAFE Knoxville TN","-34.95",,"Posted"
"05/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"05/21/2024","SHELL OIL 10015396004 KNOXVILLE TN","-35.38",,"Posted"
"05/20/2024","WM SUPERCENTER #2065 KNOXVILLE TN","-14.37",,"Posted"
"05/20/2024","WAL-MART #2065 KNOXVILLE TN","-19.68",,"Posted"
"05/20/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-7.08",,"Posted"
"05/19/2024","ONLINE PAYMENT THANK YOU","701.29",,"Posted"
"05/19/2024","SQUIRES SQUARE KNOXVILLE TN","-16.38",,"Posted"
"05/19/2024","MAKINO JAPANESE BUFFET KNOXVILLE TN","-16.93",,"Posted"
"05/19/2024","TARGET 00001511 KNOXVILLE TN","-24.54",,"Posted"
"05/18/2024","YAMATO KNOXVILLE TN","-112.04",,"Posted"
"05/17/2024","RAISING CANES 1035 KNOXVILLE TN","-10.70",,"Posted"
"05/17/2024","KNOX SMOKE SHOP KNOXVILLE TN","-2.28",,"Posted"
"05/16/2024","TST* XUL BEER CO 2 Knoxville TN","-20.68",,"Posted"
"05/16/2024","PY *PIZZA INN KNOXVILLE TN","-31.44",,"Posted"
"05/16/2024","TOMO POKE BOWL KNOXVILLE TN","-5.63",,"Posted"
"05/16/2024","TOMO POKE BOWL KNOXVILLE TN","-35.65",,"Posted"
"05/15/2024","COSTCO GAS #1116 FARRAGUT TN","-37.29",,"Posted"
"05/15/2024","COSTCO WHSE #1116 FARRAGUT TN","-2.64",,"Posted"
"05/15/2024","COSTCO WHSE #1116 FARRAGUT TN","-19.11",,"Posted"
"05/15/2024","MCDONALD'S F2495 KNOXVILLE TN","-10.14",,"Posted"
"05/13/2024","COSTCO GAS #0352 CORDOVA TN","-27.54",,"Posted"
"05/11/2024","POKE WORLD MEMPHIS TN","-36.00",,"Posted"
"05/11/2024","POKE WORLD MEMPHIS TN","-21.80",,"Posted"
"05/10/2024","MINISO WOLFCHASE GALLERIAMEMPHIS TN","-28.50",,"Posted"
"05/09/2024","SHELL OIL 10015396004 KNOXVILLE TN","-24.19",,"Posted"
"05/06/2024","SQ *HONEYBEE COFFEE Knoxville TN","-11.56",,"Posted"
"05/06/2024","ALDI 70015 KNOXVILLE TN","-13.86",,"Posted"
"05/03/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-18.77",,"Posted"
"05/01/2024","COSTCO GAS #1116 FARRAGUT TN","-38.76",,"Posted"
"05/01/2024","COSTCO WHSE #1116 FARRAGUT TN","-66.09",,"Posted"
